no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE,
1,A2062098,1352741,Favorite Class,0.1416457518949093,0.11905497473922848,0.06945047076535935,0.07100829916233549,0.07044738100963029,0.05617069699750084,0.08340188465540506,0.03557418409659421,0.08830112137494545,0.07087334816300361,0.06478876969464399,0.033311494754665126,0.04759548354431958,
2,A2062098,1352741,School Improvement,0.11565377434284943,0.17853578678379345,0.06880863915398927,0.08197128907564448,0.06309129417484224,0.0697281948237824,0.10229091902854592,0.045185733985442275,0.1125530769560266,0.08746690452547061,0.07708327607152773,0.037710926762718415,0.06216295109858207,
3,A2062098,1352741,Questions,0.03009001248438821,0.029366552404411307,0.06786870887223515,0.023304525200481884,0.026184597617121705,0.0229913405928175,0.027395743093926218,0.02008722714770428,0.025279777654886433,0.03363702734282073,0.029422276914063416,0.01114451707723544,0.011821848341690887,
4,A2071278,1360573,Favorite Class,0.1569947709441899,0.07533906741488441,0.04360580199338941,0.03952814072130606,0.05713742806310542,0.050012260449411455,0.06680512076920009,0.026997852962024615,0.06824777672259633,0.06016837675152419,0.06213696551607403,0.02546794907663012,0.04600340188782415,
5,A2071278,1360573,School Improvement,0.08743043036258169,0.13387832614960637,0.03932222776609526,0.027924637903935144,0.05116692841838569,0.06786743919779736,0.06676874525375931,0.029829980944964113,0.09702011778445022,0.07195878085397218,0.07041990479045156,0.0283895045597539,0.03270196068482058,
6,A2071278,1360573,Questions,0.029644586421039013,0.025451733889985985,0.11779901829241805,0.01512859017409606,0.02890890524427927,0.03345038069921113,0.033617624227452264,0.03354741474242103,0.03183456780065765,0.03860882498183966,0.037620855695519206,0.017462667485863264,0.01871353286566958,
7,A2086310,1375101,Favorite Class,0.1186401688129999,0.07074703615224641,0.040355322190180516,0.03851217669789098,0.05810781106491608,0.04254738841755599,0.061992573050334586,0.03462734848471759,0.06865059791524378,0.06303249538375615,0.06008896199983881,0.022330895041645076,0.04367793624235681,
8,A2086310,1375101,School Improvement,0.05317034086201049,0.09437393981812149,0.029375868286250887,0.019735389919934256,0.026431493326160335,0.03759222242933645,0.03741335858429579,0.018379226977127086,0.04806139642283664,0.0405247076926399,0.03883165749528915,0.019828314673756238,0.02749209204931482,
9,A2086310,1375101,Questions,0.025530285897924904,0.055899847380698565,0.07081060009170388,0.009330052787263655,0.0128215099389745,0.025367003335030096,0.03988827393217777,0.024982417178181837,0.04442405612154402,0.027011382955341758,0.025004585714770537,0.01204426228875494,0.008833481300597749,
10,A2097154,1385069,Favorite Class,0.2891887692245923,0.1638298390765336,0.09101937061149926,0.09138695270213612,0.10893903128555221,0.08955195764536429,0.13671033532883536,0.06789546715371689,0.114865401742523,0.09855388760659793,0.09364862691375284,0.06348957707536636,0.09815344319073262,
11,A2097154,1385069,School Improvement,0.13640077913097554,0.22593509382929128,0.10651461149268575,0.08561552781615948,0.11002264992105319,0.10908943377823974,0.13897175903952477,0.06359330040084452,0.158487000030499,0.11544037291531233,0.10638823989259148,0.08115372926854213,0.077666199029256,
12,A2097154,1385069,Questions,0.0816496235979933,0.10954484614930392,0.17497136861535179,0.05026597487195833,0.07063237491041163,0.0674672657703121,0.09445494229109094,0.055865167633873836,0.10666198909915137,0.07523214001053885,0.06730330640879173,0.04229080493359539,0.035584665497032625,
13,A2098926,1386776,Favorite Class,0.04373155509385648,0.027059462630650195,0.02028499825364377,0.019332367056324677,0.02352647369442671,0.020836701857956393,0.02407381159341086,0.009964757964631947,0.02732277996712358,0.022159715911782223,0.021953020413451402,0.006480922723349486,0.010999970082759153,
14,A2098926,1386776,School Improvement,0.021136462743914144,0.05657322126096407,0.029242778909330008,0.012794565180658786,0.02112396809203941,0.038331999272398776,0.034938816636471436,0.013367485437333251,0.045709172904924544,0.01918529958185472,0.029156058426950487,0.011758071695051012,0.014755893857142011,
15,A2098926,1386776,Questions,0.009215537388202282,0.009669393824335733,0.05435849794934168,0.007586075779127016,0.021409661225642307,0.019137598946769908,0.014445523639081772,0.00819490999616027,0.013493908532699285,0.010742559856661376,0.017058173737003544,0.009092087002339632,0.004341151205377431,
16,A2120627,1407581,Favorite Class,0.2077187112647625,0.0847499806036515,0.05604536915106169,0.059663470311921894,0.06141363423678104,0.04381709871997145,0.07769390785511976,0.026127108346619268,0.06293942644439746,0.06520941189380935,0.060702480676330946,0.02701763072849986,0.05557395828117593,
17,A2120627,1407581,School Improvement,0.0842491456376662,0.15089106924680543,0.06564156021044883,0.03868779378817715,0.042985232383489655,0.03501437499057466,0.05557049181575369,0.021767414795564093,0.08699031586156525,0.05904224507955459,0.042096336454713654,0.022492222054614583,0.016755175528614046,
18,A2120627,1407581,Questions,0.04102127172886265,0.039895014045005624,0.16464828716076188,0.018693313718711788,0.03255503348627516,0.03501377343902573,0.0439136285233756,0.03399235245305067,0.034333093052053926,0.03055851957958314,0.024812996577763688,0.020680612347345126,0.012519228563179859,
