no,testId,topic,distIMF,distIMM,distISE,distINE,expected
1,1314458,Summer Break,0.06423827229851391,0.06843013803946103,0.07077283952993657,0.08316920327229708,A-NE
2,1314458,Self Recommnedation,0.0,0.0,0.0,0.05258006145640469,A-NE
3,1314458,Social media,0.059591189622640844,0.06505423095685146,0.06886250143642865,0.07985192295257597,A-NE
4,1342387,Summer Break,0.11730102298615874,0.12318811336541836,0.11724827223982937,0.11169492641751445,A-MM
5,1342387,Self Recommnedation,0.1025874459894649,0.11114346487258125,0.11226631695530809,0.1125056978844106,A-MM
6,1342387,Social media,0.07641709878691559,0.07644766590378183,0.07933833344976522,0.07959527596037735,A-NE
7,1342399,Summer Break,0.10927740993370125,0.11391681932501949,0.10504578551329175,0.09763905691565673,A-MF
8,1342399,Self Recommnedation,0.13665279089144722,0.1464532036712678,0.14727108555160195,0.1395150391535117,A-MM
9,1342399,Social media,0.08126298192860912,0.08502944877526973,0.09136649468877218,0.0937883280692946,A-MM
10,1359190,Summer Break,0.07275812084438887,0.07069991916057007,0.068713371181111,0.05609849644780429,A-SE
11,1359190,Self Recommnedation,0.09535859421495743,0.09451164990573942,0.0886687607690578,0.06956453077647379,A-SE
12,1359190,Social media,0.03759447342707674,0.036914832603808415,0.03607581135825272,0.033968066769692565,A-NE
13,1359621,Summer Break,0.14529474500663858,0.15424145726144156,0.14662858017759922,0.13354299624414606,A-MM
14,1359621,Self Recommnedation,0.14508346735033312,0.15425846323381964,0.15003777834355864,0.12311395339178016,A-MM
15,1359621,Social media,0.1266795453863355,0.12868269206417046,0.13058792917714698,0.113015054991182,A-MM
16,1362349,Summer Break,0.1712164138178861,0.17694663830544838,0.1712550642604735,0.16059161442280187,A-MF
17,1362349,Self Recommnedation,0.19360991773504146,0.20060196469580738,0.19881464519020825,0.16942593209101114,A-MF
18,1362349,Social media,0.15556054190162125,0.16002754457592017,0.16259810605799602,0.14830255387382155,A-MF
19,1378265,Summer Break,0.1326002713729342,0.14039886750849837,0.13784894497808267,0.1277240118018556,A-SE
20,1378265,Self Recommnedation,0.16891635564659596,0.17892746759702072,0.18029282715736766,0.16519752198963306,A-SE
21,1378265,Social media,0.16130906763076597,0.16630959209574295,0.17033035828484266,0.15492944657543267,A-MM
22,1378289,Summer Break,0.11544750969452616,0.12227078570912997,0.1149200113074606,0.10461029077297213,A-MM
23,1378289,Self Recommnedation,0.15296966407682316,0.15982040170091433,0.1573816043193696,0.1383064490743051,A-MM
24,1378289,Social media,0.12832841344307802,0.13407456518342048,0.14220941087578517,0.13230053175525602,A-SE
25,1384809,Summer Break,0.11579984396523821,0.12040708260011816,0.11232337562439629,0.10190354632012494,A-MM
26,1384809,Self Recommnedation,0.16131176076655374,0.16459440215808252,0.16637178072509334,0.1523174920536836,A-SE
27,1384809,Social media,0.11384103232213717,0.11495185270044855,0.11883055815200039,0.10051673197454328,A-SE
28,1385362,Summer Break,0.14857290663059947,0.16164973556902057,0.15282264154061104,0.14113729107926126,A-MM
29,1385362,Self Recommnedation,0.16042100686361127,0.17278304429514246,0.17010903826948873,0.14197623307306015,A-MM
30,1385362,Social media,0.13658265151964302,0.14039311816169825,0.14881811664411732,0.12730684552988694,A-SE
31,1385422,Summer Break,0.13090587309443757,0.1354952928375636,0.1251476923812122,0.11048933647930134,A-MM
32,1385422,Self Recommnedation,0.1486969632269623,0.15342689476644988,0.1500389488720375,0.13263266039661126,A-MM
33,1385422,Social media,0.10756716012149155,0.1078652418544517,0.11068642961389487,0.0976976703523798,A-SE
34,1387055,Summer Break,0.0690325068457706,0.0711149146940061,0.0701907829051087,0.06876494304440019,A-SE
35,1387055,Self Recommnedation,0.10329054335980686,0.10661031826650132,0.10704061568089149,0.09193745234953198,A-MF
36,1387055,Social media,0.05596373046499476,0.058649301465556414,0.06210766412047341,0.06003800370464941,A-SE
37,1389014,Summer Break,0.1050689951357271,0.10661609335847923,0.10149009750227607,0.08455705702995417,A-SE
38,1389014,Self Recommnedation,0.12663150319899846,0.13320314615876788,0.1339103612662708,0.1104004847938662,A-SE
39,1389014,Social media,0.06304095872274869,0.07020379174876915,0.07472699200266229,0.0741637200999926,A-NE
40,1393337,Summer Break,0.16952327043764137,0.16456632815295374,0.15895019163947716,0.14377895845420602,A-MF
41,1393337,Self Recommnedation,0.1540503216997059,0.1526846389522556,0.14901140381039366,0.1284944029593343,A-MF
42,1393337,Social media,0.15620216546473015,0.15064293711820378,0.14997116405345773,0.13315044125484926,A-MF
43,1393553,Summer Break,0.14493494624574116,0.14733263196199176,0.13716269711601126,0.1248286206210213,A-MM
44,1393553,Self Recommnedation,0.1531602046613999,0.1547908464567525,0.1471658469691749,0.13047415903758916,A-MM
45,1393553,Social media,0.130406099761117,0.13049225317231022,0.1270865931131261,0.11587047119879659,A-MM
46,1395993,Summer Break,0.15432000702247864,0.15297601544686767,0.1438039220554142,0.1242949433456457,A-SE
47,1395993,Self Recommnedation,0.14252330450882528,0.14310676927813637,0.1399316266508348,0.11733370348359423,A-SE
48,1395993,Social media,0.1019263927170376,0.10173251865667071,0.09994115535890966,0.09409957873500299,A-SE
49,1398193,Summer Break,0.03833850453552672,0.04115076221210272,0.041122205818324015,0.041061454158820274,A-NE
50,1398193,Self Recommnedation,0.02904490181829894,0.03373550100035249,0.03530261164555846,0.02985112024271301,A-NE
51,1398193,Social media,0.022533973871355754,0.025731604540605323,0.027669529153143232,0.027550625255543,A-NE
52,1408167,Summer Break,0.09727087022319802,0.10636308055133126,0.10011454639826374,0.09417310527255732,A-MM
