no,testId,topic,distIMF,distIMM,distISE,distINE,expected
1,1398952,About Me,0.16798455026980585,0.14349181983969267,0.13125931135866878,0.05531892468271118,N-MF
2,1398952,Things To Do,0.10936282993217344,0.11178794603503628,0.08679820795375034,0.03289722329862091,N-MM
3,1398952,Best Friend,0.09037306807421389,0.09702564287979734,0.07557120430638195,0.031498891098728346,N-MM
4,1413752,Best Friend,0.13279879559980948,0.1461250940327929,0.10969066638419886,0.043209502421178894,N-MM
5,1413752,About Me,0.17101109055741506,0.1468954882649812,0.13092179792173836,0.046117674353734636,N-MF
6,1413752,Things To Do,0.10364755787513023,0.12676326231803517,0.09444511719208584,0.03518792993509731,N-MM
7,1476242,Wishlist,0.05084379976596602,0.056580353854698937,0.05941710501430351,0.01600463166790421,N-SE
8,1476242,About Me,0.10793104173555342,0.12049807767884346,0.0862465818789816,0.03473557537888769,N-MM
9,1476242,School Supplies,0.026874095251943654,0.03857965086901835,0.024348296226736427,0.010213914792892216,N-MM
10,1534539,Wishlist,0.004051057560235518,0.002601697651746205,0.003701681409767987,0.0008772037776037826,N-MF
11,1534539,About Me,0.10420106615858664,0.0906809414254762,0.08791588577795474,0.03472165446926069,N-MF
12,1534539,School Supplies,0.026218147456177912,0.04441903870578752,0.031418398454482535,0.02763419603368019,N-MM
13,1572957,About Me,0.08089834433489151,0.09492281788783608,0.07787268782450364,0.04586240359936941,N-MM
14,1572957,School Supplies,0.006114096674481167,0.03500884506253775,0.018020968384054627,0.06233289656277524,N-MM
15,1572957,Wishlist,0.02735277626220741,0.025340250954628003,0.04192622980211552,0.01770366832929607,N-SE
16,1667891,Wishlist,0.006970823812462895,0.016078694455610196,0.022179712435042607,0.02515867187447768,N-NE
17,1667891,About Me,0.04262884916658967,0.059230036204623075,0.04514681060160997,0.015914219692903513,N-MM
18,1667891,School Supplies,0.0,0.0013730757513869037,0.007286679486800073,0.0,N-SE
19,1678953,Best Friend,0.0,0.0,0.0,0.004724490220355253,N-NE
20,1678953,About Me,0.057962206822006784,0.06862600668990507,0.05283199710409667,0.015530669067033147,N-MM
21,1678953,Things To Do,0.0972793068057282,0.10844327244869088,0.08141065534836814,0.02534003563543185,N-MM
22,1786865,About Me,0.0,0.0,0.0,0.004724490220355253,N-NE
23,1786865,School Supplies,0.005235180120186011,0.01427989666361804,0.016338979050397343,0.0802386589204942,N-NE
24,1786865,Wishlist,0.0,0.0,0.0,0.004724490220355253,N-NE
25,1807558,Wishlist,0.02409729869119773,0.032332151902688205,0.026054102754005083,0.009816497645414365,N-MM
26,1807558,About Me,0.12948204267822117,0.11001535836119741,0.09939230803617538,0.03743225834752574,N-MF
27,1807558,School Supplies,0.012221592189383259,0.031081542423010977,0.022021291745744936,0.005166927617062212,N-MM
28,1808067,Wishlist,0.0,0.0,0.0,0.2124340491942312,N-NE
29,1812339,About Me,0.13516693275268873,0.10270819302838723,0.09660577100444981,0.033524208868209185,N-MF
30,1812339,Wishlist,0.0,0.0,0.0,0.2124340491942312,N-NE
31,1812339,School Supplies,0.013605516422199083,0.027702671718146804,0.014589222414133214,0.005760272379601399,N-MM
32,1834172,About Me,0.1215858048359612,0.1292106369036834,0.09990968233114023,0.03918436090870792,N-MM
33,1834172,School Supplies,0.0,0.0,0.0,0.2124340491942312,N-NE
34,1834172,Wishlist,0.0,0.0,0.008481256405910822,0.0,N-SE
35,1836007,Wishlist,0.032197510985143354,0.051215509414778426,0.03271934632465059,0.011278980047440709,N-MM
36,1836007,About Me,0.16140958543316639,0.13400731186756865,0.11871546318843897,0.04876932876646113,N-MF
37,1836007,School Supplies,0.04274737720775187,0.026431643783071803,0.028454602393680587,0.013731958208152178,N-MF
38,1869783,Best Friend,0.03658665460069951,0.06801193899396875,0.046921624234752414,0.06798853379603825,N-MM
39,1869783,About Me,0.05685450351970793,0.04982152959633248,0.0496462636388921,0.028887160631360525,N-MF
40,1869783,Things To Do,0.036819673849053644,0.054511641776671914,0.03655287448302743,0.047698586134212066,N-MM
41,1898363,About Me,0.0005369806428822918,0.001371357835219746,0.0029807485536934796,0.031030853216951676,N-NE
42,1898363,School Supplies,0.051177143769625934,0.057754280911549064,0.045970793829488585,0.02061513258487585,N-MM
43,1898363,Wishlist,0.04603923080750629,0.037857875035081825,0.04373555704135501,0.015428640675941517,N-SE
44,1910031,About Me,0.08646301034098292,0.08301872319874463,0.08471048911826595,0.030060865554267686,N-MF
45,1910031,Wishlist,0.048353528735636885,0.041513683687796746,0.04059455627310104,0.018149316223727577,N-SE
46,1910031,School Supplies,0.0046975834380687575,0.014415216014874789,0.0034869265200089027,0.0009964132167997522,N-MM
47,1924823,About Me,0.07807520382025525,0.08356435283620559,0.09393840222068936,0.029316170963851813,N-SE
48,1924823,Things To Do,0.06853951076079998,0.07856444653273056,0.07067646595087677,0.06984110628598908,N-NE
49,1924823,Best Friend,0.054528450355886784,0.0632093367629757,0.07501149245004154,0.02197691563348175,N-SE
