no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH
38,A2658336,1887036,Self Recommnedation,0.1402286026,0.221186368,0.1249355498,0.1314200405,0.1245958997,0.1191978866,0.08138988554,0.06650796277
39,A2658336,1887036,Social media,0.1257369734,0.1116249277,0.2106715355,0.1188360776,0.1169407261,0.1121717769,0.08355062716,0.07400406471
40,A2717823,1937361,Summer Break,0.1343095869,0.0698605441,0.0719397206,0.06551008516,0.05986521147,0.0589418856,0.05451839528,0.04805019969
41,A2717823,1937361,Self Recommnedation,0.1103683246,0.1495186035,0.1002118137,0.09319183118,0.08396165204,0.08232750146,0.06248368964,0.06047521908
42,A2717823,1937361,Social media,0.1165192744,0.08060091503,0.1172024835,0.07773621653,0.07949204545,0.0771786297,0.06987886091,0.04632876108
43,A2791258,1998978,Summer Break,0.1434076859,0.09840109146,0.0897758292,0.07966915637,0.0681485248,0.06257949414,0.04643260209,0.0447593702
44,A2791258,1998978,Self Recommnedation,0.07826495539,0.1701203226,0.07898836571,0.06578396325,0.06537319348,0.0561427027,0.04158587714,0.03812359273
45,A2791258,1998978,Social media,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
46,A2791364,1999084,Summer Break,0.1124124306,0.07453507258,0.06578847516,0.07109932033,0.06858020532,0.06260320449,0.04848705159,0.04142521145
47,A2791364,1999084,Self Recommnedation,0.1020324982,0.1756097625,0.09268304457,0.0880486891,0.09192079557,0.08448482011,0.05962315292,0.05262180072
48,A2791364,1999084,Social media,0.04619699757,0.03951567607,0.07449938066,0.045055532,0.0383869291,0.04645297895,0.03670946799,0.02498017759
49,A2793536,2000862,Summer Break,0.1849087407,0.1060381416,0.1199209456,0.1133722876,0.1028423447,0.09397013381,0.08027963801,0.07237747668
50,A2793536,2000862,Self Recommnedation,0.114951455,0.2157945365,0.1072495024,0.1134065675,0.1003947979,0.09085100352,0.06454764799,0.06568589581
51,A2793536,2000862,Social media,0.1031237819,0.1061416181,0.1636372725,0.1222247498,0.09928512278,0.1125402882,0.0725033109,0.06668038765
52,A2799996,2006622,Summer Break,0.1895794874,0.1093189995,0.1196264333,0.1088903054,0.1056016258,0.1036762978,0.08749919947,0.06763829219
53,A2799996,2006622,Self Recommnedation,0.1312022135,0.220780875,0.122750583,0.1246323016,0.1115851459,0.095884596,0.07508824512,0.07952983739
54,A2799996,2006622,Social media,0.1156393832,0.1206879553,0.1750897062,0.1266568183,0.1165006601,0.09718427027,0.07442830203,0.08105793397
55,B1987007,1287324,Summer Break,0.1878967107,0.08097962173,0.0827704788,0.07880428875,0.08331205911,0.09129380075,0.06292480239,0.05738873193
56,B1987007,1287324,Self Recommnedation,0.09518570441,0.1742128997,0.07271521104,0.06748184378,0.06722949268,0.06366344977,0.03820419047,0.04384102315
57,B1987007,1287324,Social media,0.06644423062,0.05473811416,0.1793331433,0.0550790615,0.05182112828,0.05277125102,0.0372417658,0.02686844056
58,B1987119,1287436,Summer Break,0.09574318686,0.05805352908,0.06316260548,0.0574582804,0.0501674291,0.04486426098,0.03456450726,0.03376327944
59,B1987119,1287436,Self Recommnedation,0.04798425505,0.08759938744,0.05394275962,0.05758173876,0.05173317866,0.05227828262,0.0397392715,0.03325681862
60,B1987119,1287436,Social media,0,0,0,0,0,0,0,0
61,B2051030,1342279,Summer Break,0.2190562136,0.1191261484,0.1211549414,0.1132282032,0.1069419361,0.1011712841,0.08126214643,0.07511543896
