no,username,testId,topic,Wishlist,About Me,School Supplies,Things To Do,Best Friend,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS,
1,A2391044,1667891,Wishlist,0.09630419706170666,0.013522739000043133,0.0,0.0,0.0,0.007142168091275897,0.0023766117587734545,0.0,0.005591783749342763,
2,A2391044,1667891,About Me,0.008205430379058758,0.1030834768161468,0.008645390603961797,0.01542304965370574,0.025858340423469052,0.027456199743596043,0.030969960205052847,0.03166751546734025,0.024974924021726873,
3,A2391044,1667891,School Supplies,0.0,0.0,0.06920042901549131,0.0,0.0,0.0,0.0,0.0,0.0,
4,A2543812,1786865,About Me,0.0,0.011163082808953343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,A2543812,1786865,School Supplies,0.0,0.010675181821688492,0.10078877459028238,0.0,0.00792879420411185,0.02098400340136282,0.0,0.004047556614565654,0.0,
6,A2543812,1786865,Wishlist,0.032577297730086656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,C2130502,1417170,About Me,0.02028350325904013,0.1994056941834041,0.0061741864322388575,0.07735850774154729,0.02418135072338401,0.035514039153288025,0.07208298508901191,0.04642158225484393,0.038385113273323605,
8,C2130502,1417170,Things To Do,0.012662457272962982,0.07300436469057309,0.0011841951264635073,0.3081063796660316,0.06291814075829474,0.02654817492864582,0.06792482583091229,0.03925018056840119,0.03786889705773088,
9,C2130502,1417170,Best Friend,0.004776846978313445,0.04015838583092013,0.0019345749237767627,0.05553047870398808,0.23810954952624483,0.019158312793714813,0.02755268148148977,0.03978960913204133,0.020594435688104176,
10,C2211421,1495628,About Me,0.0381562223287361,0.026149564218712913,0.06617797457028067,0.047888122781174144,0.014566579521588009,0.04337018841115791,0.0,0.0037180341535175774,0.0,
11,C2211421,1495628,School Supplies,0.0,0.0,0.11906310485601604,0.0,0.0,0.0,0.0,0.0,0.0,
12,C2211421,1495628,Wishlist,0.12284010091059112,0.014082898745345553,0.019207894017173995,0.0,0.0,0.02660504712604451,0.008815946405098214,0.00700799977468586,0.0057005501203796615,
13,E2193976,1478868,Best Friend,0.08728909502444267,0.1869429526026442,0.018924225061582922,0.07303502364523433,0.07497815033795059,0.07165669547046398,0.12813485459994733,0.07867735076190763,0.1008713825726102,
14,E2193976,1478868,About Me,0.01700829750003504,0.10958336506908409,0.010215423927286764,0.02520523981168238,0.014956608030490353,0.029497216454340263,0.033719529890462896,0.03248293099789942,0.031883221640385345,
15,E2193976,1478868,Things To Do,0.041641907905334424,0.2711395144940699,0.00932051370068743,0.2987426992143112,0.06872261850337125,0.056516034303661034,0.24082426146525598,0.07083378493868588,0.0955430210479942,
16,F2402431,1678025,About Me,0.02486852965120244,0.21280758596180432,0.010148104526434817,0.02291497266685958,0.023852828630825985,0.04251251172911782,0.06451698148524214,0.10148888196518428,0.057256034594332046,
17,F2402431,1678025,Things To Do,0.020083021861261943,0.07892673912670853,0.007428667853381173,0.23684912525031965,0.017489589827006942,0.03725876030571251,0.060644893870561746,0.06552926056156638,0.07153611321948672,
18,F2402431,1678025,Best Friend,0.009724745277135839,0.025667135466271092,0.0011648465544402086,0.014258688260811595,0.15203658924371355,0.014768681043403814,0.020148995399290666,0.01299011537593368,0.011339507233277406,
19,F2604487,1838797,About Me,0.01843422166147341,0.1969709487792363,0.007496633188084779,0.10125613871371462,0.026403390077967548,0.03055881090334058,0.09077668541299716,0.0714717632355318,0.052597364281593395,
20,F2604487,1838797,Wishlist,0.14116377299401067,0.019707700698801366,0.030677293981014132,0.0066726806681258275,0.019222411107504122,0.023882072108306132,0.019099315542088685,0.03686027686695932,0.012944604824877387,
21,F2604487,1838797,School Supplies,0.034061078948576115,0.0150089907934119,0.1744607039773255,0.004879534191447553,0.004452761062664004,0.027680931625995487,0.00753246231212361,0.015901262649897312,0.006532306945879753,
22,J2214674,1498742,About Me,0.048355420631426595,0.3740560785900643,0.025421571104285168,0.03999573067764724,0.06573850034632231,0.13514573586444645,0.12718209621537677,0.21988449844374866,0.11913584983115315,
23,J2214674,1498742,School Supplies,0.0,0.0,0.028250956844940233,0.0,0.0,0.0,0.0,0.0,0.0,
24,J2214674,1498742,Wishlist,0.032577297730086656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,J2575754,1811216,Wishlist,0.16696087084954023,0.018526786865624062,0.019288263123572968,0.005013375125641228,0.005146758022517566,0.0126009331261469,0.01204402994070425,0.006478086117752221,0.008968520710826329,
26,J2575754,1811216,About Me,0.023615671113273798,0.14573281842204447,0.007906253352848655,0.01617869312335458,0.015347972606305877,0.02310618199554313,0.03490783439490587,0.06910861418819496,0.029267227869198616,
27,J2575754,1811216,School Supplies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,K2130462,1417130,Things To Do,0.007948362389939073,0.0698933650419989,0.0030873410689496953,0.2831630960091848,0.041971946883697556,0.025027356352827785,0.058986867540798946,0.029085094370112533,0.025191187120177087,
29,K2130462,1417130,About Me,0.015879802577608976,0.20403275681918398,0.025791948059204598,0.02581736408218785,0.08169970464648398,0.039831732299629524,0.04432509623535549,0.08043856519051068,0.03198998219745195,
30,K2130462,1417130,Best Friend,0.007511695953088527,0.07185411547286615,0.005445647821431605,0.03334426674184428,0.4408619832714033,0.04691654643740834,0.056446711678761426,0.06529228826871487,0.03629144958452605,
31,K2607189,1841498,About Me,0.012735541089186484,0.17452575497674822,0.007510787243887836,0.04763685971544279,0.045625274151943264,0.055211139366361704,0.05974294232240549,0.07485263009369707,0.04500224236306812,
