no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
899,2446967,THEATER,0.14910192,0.10267265,0.07817697,0.01518856,0.14910192,I-MF,I-MF,0.66410808,0.64942417,0.62602418,0.29794908
900,2446967,TRAVEL,0.17123656,0.12176504,0.10043788,0.0176062,0.17123656,I-MF,I-MF,0.65902816,0.63467849,0.61711066,0.25661527
901,2451521,ANIMALS,0.10244495,0.13676191,0.08328653,0.01521911,0.13676191,I-MM,I-MM,0.56926821,0.56151371,0.53372756,0.23462884
902,2451521,COMMUNICATIONS,0.07797018,0.1068439,0.06242232,0.02180604,0.1068439,I-MM,I-MM,0.49822218,0.51442014,0.52088444,0.31252606
903,2451521,DIRECTIONS,0.10247137,0.15188129,0.07144776,0.00986432,0.15188129,I-MM,I-MM,0.5763551,0.57985601,0.54590018,0.29061223
904,2114343,ANIMALS,0.11835229,0.11185487,0.11075267,0.01287473,0.11835229,I-MF,I-MF,0.47088009,0.47375356,0.46467039,0.20439614
905,2114343,COMMUNICATIONS,0.10527244,0.08872127,0.09826527,0.01501586,0.10527244,I-MF,I-MF,0.53699297,0.53658112,0.53871137,0.30993579
906,2114343,DIRECTIONS,0.09515695,0.08986815,0.09386025,0.01772803,0.09515695,I-MF,I-MF,0.62375241,0.61975461,0.60928241,0.30861539
907,2134151,COMMUNICATIONS,0.08420258,0.08958149,0.12769647,0.01839494,0.12769647,I-SE,I-SE,0.46467048,0.49897481,0.51083251,0.33840211
908,2134151,POP_CULTURE,0.067462,0.07849713,0.12959712,0.01541674,0.12959712,I-SE,I-SE,0.45217545,0.4520262,0.4521782,0.18080387
909,2134151,ANIMALS,0.09220555,0.11996524,0.14372241,0.02598796,0.14372241,I-SE,I-SE,0.31979501,0.3376027,0.35201893,0.14115107
910,2203113,POP_CULTURE,0.03179412,0.02065423,0.01587148,0.03504897,0.03504897,I-NE,I-NE,0.15074985,0.14570508,0.14198764,0.07212679
911,2203113,THEATER,0.10056258,0.12701211,0.09067177,0.01767986,0.12701211,I-MM,I-MM,0.51330503,0.5351276,0.5353585,0.3407293
912,2203113,TRAVEL,0.10236453,0.12659977,0.09131091,0.01942781,0.12659977,I-MM,I-MM,0.54479288,0.5567544,0.54494389,0.24269682
913,2232828,POP_CULTURE,0.13842708,0.11199146,0.08901946,0.01222661,0.13842708,I-MF,I-MF,0.55032913,0.53734098,0.51977762,0.24601026
914,2232828,THEATER,0.13082831,0.08572086,0.06878807,0.01360587,0.13082831,I-MF,I-MF,0.62922014,0.61866503,0.60359252,0.32265035
915,2232828,TRAVEL,0.16415799,0.11990988,0.09597899,0.01700861,0.16415799,I-MF,I-MF,0.69551865,0.67637284,0.65787496,0.26325123
916,2238158,COMMUNICATIONS,0.11958179,0.08108988,0.06291663,0.01019208,0.11958179,I-MF,I-MF,0.59254864,0.57539435,0.5625976,0.25674066
917,2238158,DIRECTIONS,0.08909452,0.06341625,0.05767211,0.01230141,0.08909452,I-MF,I-MF,0.62336345,0.60421767,0.58725443,0.32056603
918,2238158,ANIMALS,0.10451992,0.08435873,0.05785907,0.01269081,0.10451992,I-MF,I-MF,0.4397879,0.42359255,0.4015119,0.16160745
919,2307881,TRAVEL,0.18871378,0.13270501,0.10765371,0.01711361,0.18871378,I-MF,I-MF,0.73940555,0.71203345,0.70127273,0.28178255
920,2307881,POP_CULTURE,0.1437276,0.11641406,0.1015849,0.02211297,0.1437276,I-MF,I-MF,0.58223473,0.58088108,0.57704123,0.28584125
921,2307881,THEATER,0.1155876,0.08557921,0.07380284,0.01200026,0.1155876,I-MF,I-MF,0.66931593,0.66172914,0.65603558,0.3625104
922,2411077,ANIMALS,0.1009856,0.12893979,0.08597886,0.02124708,0.12893979,I-MM,I-MM,0.49675924,0.49537085,0.47902058,0.18616729
923,2411077,COMMUNICATIONS,0.08722674,0.10670957,0.06683901,0.01272081,0.10670957,I-MM,I-MM,0.44467271,0.43930865,0.41743644,0.16645176
924,2411077,POP_CULTURE,0.10237289,0.10960213,0.06295269,0.01387849,0.10960213,I-MM,I-MM,0.37581679,0.36143439,0.34057409,0.13685334
925,2337568,POP_CULTURE,0.00866847,0.0045383,0.00301661,0.05896082,0.05896082,I-NE,I-NE,0.17582241,0.17320991,0.16388875,0.09464188
926,2337568,THEATER,0.02395645,0.02784888,0.03188084,0.07207805,0.07207805,I-NE,I-NE,0.1817554,0.18624522,0.19618451,0.13121107
927,2337568,TRAVEL,0.00147713,0.00345551,0.00807259,0.19622982,0.19622982,I-NE,I-NE,0.20961133,0.23493963,0.25550805,0.52691155
928,2342213,COMMUNICATIONS,0.13248128,0.11476374,0.09920038,0.01155222,0.13248128,I-MF,I-MF,0.62006363,0.62268026,0.62887582,0.31583858
