no,testId,topic,distIMF,distIMM,distISE,distINE,expected
1,1285400,Favorite Class,0.06344183135208604,0.07840081097834171,0.07353478544752787,0.04534562427164518,I-MM
2,1285400,School Improvement,0.08283238189127073,0.09159087168310777,0.09044470581997158,0.05636809168037921,I-SE
3,1285400,Questions ,0.10102385814726736,0.11343901450089657,0.11083233920669881,0.05508873019468653,I-MM
4,1285888,Favorite Class,0.09456257051274163,0.10535728056702173,0.10043147943604373,0.062042490826314335,I-MF
5,1285888,School Improvement,0.11728476378051247,0.1312715922958061,0.1260528150466634,0.07531836355505991,I-MM
6,1285888,Questions ,0.0740635896122302,0.08541962851259463,0.07586016982159671,0.03326581052627494,I-MM
7,1314458,Questions ,0.05830570446821121,0.06404641046305186,0.06444124442961999,0.03135591288658027,I-SE
8,1314458,Favorite Class,0.08739187149659272,0.10132822082196634,0.09391538409963723,0.06560293288039054,I-MM
9,1314458,School Improvement,0.06441067798518091,0.07012736908838153,0.0694252832450629,0.04485443387672343,I-MM
10,1345238,Favorite Class,0.05878126708090432,0.06205227044992847,0.060543184903900815,0.03669909404324096,I-SE
11,1345238,School Improvement,0.061346505216037205,0.06668245423956701,0.06847200999256586,0.06019777915190508,I-SE
12,1345238,Questions ,0.07791832357085901,0.0888752908994977,0.08845558809358242,0.048066644965753656,I-SE
13,1352741,Favorite Class,0.12044284263645687,0.11871880124927194,0.11022065172502694,0.06871392421251186,I-MF
14,1352741,School Improvement,0.13829264326326124,0.13360133983365477,0.122269724254155,0.07281153931786996,I-MF
15,1352741,Questions ,0.04421426871422053,0.04219293204165896,0.044623173503086165,0.02721911762731643,I-SE
16,1360573,Favorite Class,0.09604961744727188,0.11753228562384833,0.1096258460476305,0.06715459015033626,I-MM
17,1360573,School Improvement,0.09706138071392546,0.11637516170028579,0.11986351722795414,0.07828005793643295,I-MM
18,1360573,Questions ,0.05674806959930488,0.06370709896523982,0.06567478586233307,0.033049047765560585,I-MM
19,1372304,Favorite Class,0.12075332002024404,0.13316400615765323,0.11789228544479825,0.06511349063894276,I-MM
20,1372304,School Improvement,0.1287329192594126,0.14280484652133024,0.1322713925518903,0.08085578562899055,I-MM
21,1372304,Questions ,0.10637191073297553,0.12389410487414375,0.1224931426050895,0.07754783462941475,I-MM
22,1375101,Favorite Class,0.08582073425638245,0.0964723684947647,0.0971518638254446,0.060260535842841044,I-SE
23,1375101,School Improvement,0.061760688546763955,0.07124790056284319,0.07247172806468663,0.0446267638065945,I-SE
24,1375101,Questions ,0.04943767854725777,0.05537136602078174,0.05825699291420151,0.03135337683691113,I-SE
25,1375161,Favorite Class,0.11042058467846194,0.12308442676291928,0.11333832830470474,0.06845578987065996,I-MF
26,1375161,School Improvement,0.1256287413079671,0.14242418586450434,0.13307858130013137,0.07901979295033336,I-MM
27,1375161,Questions ,0.10811587824985679,0.11996871505648184,0.12414022288496185,0.0698948163351949,I-MF
28,1384482,Favorite Class,0.1246621975291442,0.1336407095033503,0.11137632960471623,0.06364388767575982,I-MM
29,1384482,School Improvement,0.12442944588726398,0.12187317847263365,0.11586603822077297,0.06688496694054201,I-MM
30,1384482,Questions ,0.11554570050796312,0.12715721636586091,0.127304311320534,0.07169634912680237,I-MM
31,1385069,Favorite Class,0.19557055184272676,0.20277232286587193,0.1792068749595438,0.09987485183481142,I-MF
32,1385069,School Improvement,0.18696335467149403,0.178670526020313,0.1736379318681303,0.1022955764963892,I-MF
33,1385069,Questions ,0.13093960649763647,0.13982921757282263,0.14095209263366154,0.08107116361305486,I-MF
34,1386776,Favorite Class,0.033771969587183356,0.038896210292631864,0.03844284371398234,0.023351922194605253,I-MM
35,1386776,School Improvement,0.047013433951317345,0.041045918555790095,0.03528606302781545,0.01474827856112761,I-MM
