no,username,testId,topic,About Me,Things To Do,Best Friend,Wishlist,School Supplies,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS,
2477,W3024849,2221387,CITY_TOWN,0.11369204771127553,0.10537258779074515,0.07612885301397639,0.051019474800082856,0.03275183592801722,0.16718107623953854,0.15131764753501317,0.09660893227446657,0.11582798854335082,
2478,W3024849,2221387,FAMILY,0.11996699814212944,0.05512833088431927,0.09040171724462347,0.028587733772985964,0.034026452765128494,0.1370910817858865,0.11668827104140886,0.18226356712533856,0.13209179920939618,
2479,W3024849,2221387,WEATHER,0.1324747520430709,0.13043764457870935,0.09845902107134913,0.04976047864167882,0.03994011211787834,0.17009058026423549,0.2152695085864625,0.11555482771578647,0.1418988116236628,
2480,W3042337,2237810,WEATHER,0.057440296166513645,0.05608999569744855,0.042741119900769675,0.019193307496579173,0.014706792074511206,0.04487539629385705,0.09106099959478961,0.025091116056257055,0.04190292373595788,
2481,W3042337,2237810,CITY_TOWN,0.02160278304861972,0.0218201442789675,0.011965469445880908,0.010942421306831322,0.017409168143068143,0.07523207822022361,0.04158760714349118,0.017218828049189505,0.023107969433315303,
2482,W3042337,2237810,CELEBRATIONS,0.06124901617523017,0.06223450338279444,0.03722150116257468,0.03391429700206208,0.01463437014401963,0.05348657519139732,0.0800252014033471,0.04130612515311038,0.13729587518739494,
2483,W3084022,2278378,CITY_TOWN,0.010732769947234433,0.020252375834570787,0.012981818609112421,0.013693174191075921,0.008673715145688139,0.05555909683594851,0.012985724143899252,0.015069330659196977,0.009494706878986403,
2484,W3084022,2278378,FAMILY,0.10138653898518636,0.06038137261890347,0.0600574193315061,0.03562025888928756,0.022729218482141034,0.06950118914045476,0.07841785878338331,0.18904656069653875,0.07952944400878477,
2485,W3084022,2278378,WEATHER,0.10227508326619147,0.10468303885264695,0.07020885975122562,0.07123136969542651,0.052193651986154374,0.1122537157036879,0.15250362479099105,0.08876020162148245,0.1097591574987411,
2486,W3098177,2292487,CELEBRATIONS,0.08075355453999704,0.07134304288019155,0.05685645729462228,0.028216455884041265,0.01774172813418491,0.05568151416213553,0.08750878278494889,0.05740722744593829,0.11507722522511629,
2487,W3098177,2292487,CITY_TOWN,0.022185473989133956,0.05292246151256607,0.022546664600613466,0.037181355417347725,0.032269340181379474,0.02433944955470633,0.004678114901621915,0.0019122572355673227,0.0,
2488,W3098177,2292487,WEATHER,0.09749815096521137,0.08815663212443473,0.06358907791906071,0.03558804475362162,0.02192535039668408,0.058494750486335366,0.1409118664376188,0.06595443777625895,0.0859746216032912,
2489,W3111866,2305363,CELEBRATIONS,0.03228898857452833,0.031548000553825804,0.023534540917683335,0.0332161642344711,0.03402751992914654,0.06109670854929165,0.054989731915146695,0.02363390189200606,0.07696237624221405,
